Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
slab-waterproof-met-mouw-animals,Slab Waterproof met Mouw - Animals,<p>Ga op avontuur met deze leuke slab met Animals printje. Deze waterproof slab met mouwen doorstaan zelfs de ergste knoeipartijen van jouw ontdekkende baby of dreumes. Maak het slabbetje gemakkelijk vast met het zachte klittenband in het nekje van je kleintje en neem de slab na gebruik af. Verkrijgbaar in Nougat en Olive Green.</p>,Jollein,bibs_sleeves_waterproof_animals,"Animals, Bibs, Season 2023/2024, Slab met mouw, type-GDP-bibs_sleeves_waterproof_animals",TRUE,Color,Olive Green,Size,One Size,,,029-869-67043,0,,0,deny,manual,14.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/029-869-67043_1_20231030T.jpg?v=1760534758,1,FALSE,,,,,,,,,,,,,,,,,,,
monddoekje-hydrofiel-31x31cm-jungle-jambo-3-stuks,Monddoekje Hydrofiel 31x31cm - Jungle Jambo - 3 Stuks,"Hydrofiele monddoekjes heb je eigenlijk nooit genoeg, je kunt ze overal voor gebruiken en wast ze zo weer schoon. Deze hydrofiele monddoekjes in het Jungle Jambo thema zijn onwijs schattig en perfect om snoetjes schoon en fris te houden. De leuke print met cheetah's, zebra's en girafjes in vrolijke kleurtjes maken deze monddoekjes helemaal leuk. Met een 3-pack als deze, grijp je nooit mis!",Jollein,burp_cloths_jungle_jambo_3pack,"Burp cloths, Jungle Jambo, Monddoekjes, Season 2024/2025, type-GDP-burp_cloths_jungle_jambo_3pack",TRUE,Color,Multicolor,Size,One Size,,,537-848-67090,0,,0,deny,manual,4.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/537-848-67090_1_20240611T.jpg?v=1752138459,1,FALSE,,,,,,,,,,,,,,,,,,,
deken-weave-knit-merinowol,Deken - Weave Knit - Merinowol,"<p>Houd jouw mini behaaglijk warm tijdens de koudere dagen met dit fijne merino wollen dekentje. Bovendien is merinowol zelfreinigend, duurzaam en kriebelt het niet. Het perfecte babydekentje dus! Mocht je het toch fijn vinden om het dekentje af en toe te wassen? Volg dan de instructies op het waslabel goed en laat het dekentje liggend drogen. Combineer het dekentje met een lakentje en hoeslakentje van Jollein en je hebt een heerlijk cozy nestje voor je mini gemaakt. Kies jij de kleur funghi of oatmeal?",Jollein,blankets_merino_wool,"Blankets, Dekens, Merino Wool, Season 2023/2024, type-GDP-blankets_merino_wool",TRUE,Color,Oatmeal,Size,100x150 cm,,,516-522-67080,0,,0,deny,manual,59.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/516-522-67080_1_20231030T.jpg?v=1752134820,1,FALSE,,,,,,,,,,,,,,,,,,,
deken-weave-knit-merinowol,Deken - Weave Knit - Merinowol,"<p>Houd jouw mini behaaglijk warm tijdens de koudere dagen met dit fijne merino wollen dekentje. Bovendien is merinowol zelfreinigend, duurzaam en kriebelt het niet. Het perfecte babydekentje dus! Mocht je het toch fijn vinden om het dekentje af en toe te wassen? Volg dan de instructies op het waslabel goed en laat het dekentje liggend drogen. Combineer het dekentje met een lakentje en hoeslakentje van Jollein en je hebt een heerlijk cozy nestje voor je mini gemaakt. Kies jij de kleur funghi of oatmeal?",Jollein,blankets_merino_wool,"Blankets, Dekens, Merino Wool, Season 2023/2024, type-GDP-blankets_merino_wool",TRUE,Color,Funghi,Size,100x150 cm,,,516-522-67082,0,,0,deny,manual,59.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/516-522-67082_1_20231030T.jpg?v=1752134821,2,FALSE,,,,,,,,,,,,,,,,,,,
commodemandje-cloudy-rib,Commodemandje - Cloudy Rib,Opbergen was nog nooit zo makkelijk met dit prachtige commodemandje. Heerlijk in stijl en je stopt er meer in dan je denkt. Het fijne Cloudy Ribstofje staat perfect op de commode! Match dit mandje met een bijpassend kleurtje aankleedkussenhoes en je commode is helemaal on-trend! Kies jij voor de kleur Milky Coffee of Oatmeal?,Jollein,baskets_cloudy_rib,"Baskets, Cloudy Rib, Mandjes, Season 2025/2026, type-GDP-baskets_cloudy_rib",TRUE,Color,Milky Coffee,Size,14x18 cm,,,580-001-68118,0,,0,deny,manual,17.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/580-001-68118_1_20250611T.jpg?v=1752139616,1,FALSE,,,,,,,,,,,,,,,,,,,
commodemandje-cloudy-rib,Commodemandje - Cloudy Rib,Opbergen was nog nooit zo makkelijk met dit prachtige commodemandje. Heerlijk in stijl en je stopt er meer in dan je denkt. Het fijne Cloudy Ribstofje staat perfect op de commode! Match dit mandje met een bijpassend kleurtje aankleedkussenhoes en je commode is helemaal on-trend! Kies jij voor de kleur Milky Coffee of Oatmeal?,Jollein,baskets_cloudy_rib,"Baskets, Cloudy Rib, Mandjes, Season 2025/2026, type-GDP-baskets_cloudy_rib",TRUE,Color,Oatmeal,Size,14x18 cm,,,580-001-68119,0,,0,deny,manual,17.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/580-001-68119_1_20250606T.jpg?v=1752139617,2,FALSE,,,,,,,,,,,,,,,,,,,
commodemandje-cloudy-rib,Commodemandje - Cloudy Rib,Opbergen was nog nooit zo makkelijk met dit prachtige commodemandje. Heerlijk in stijl en je stopt er meer in dan je denkt. Het fijne Cloudy Ribstofje staat perfect op de commode! Match dit mandje met een bijpassend kleurtje aankleedkussenhoes en je commode is helemaal on-trend! Kies jij voor de kleur Milky Coffee of Oatmeal?,Jollein,baskets_cloudy_rib,"Baskets, Cloudy Rib, Mandjes, Season 2025/2026, type-GDP-baskets_cloudy_rib",TRUE,Color,Milky Coffee,Size,30x35 cm,,,580-010-68118,0,,0,deny,manual,27.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/580-010-68118_1_20250611T.jpg?v=1752139617,3,FALSE,,,,,,,,,,,,,,,,,,,
commodemandje-cloudy-rib,Commodemandje - Cloudy Rib,Opbergen was nog nooit zo makkelijk met dit prachtige commodemandje. Heerlijk in stijl en je stopt er meer in dan je denkt. Het fijne Cloudy Ribstofje staat perfect op de commode! Match dit mandje met een bijpassend kleurtje aankleedkussenhoes en je commode is helemaal on-trend! Kies jij voor de kleur Milky Coffee of Oatmeal?,Jollein,baskets_cloudy_rib,"Baskets, Cloudy Rib, Mandjes, Season 2025/2026, type-GDP-baskets_cloudy_rib",TRUE,Color,Oatmeal,Size,30x35 cm,,,580-010-68119,0,,0,deny,manual,27.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/580-010-68119_1_20250606T.jpg?v=1752139617,4,FALSE,,,,,,,,,,,,,,,,,,,
slab-waterproof-met-mouw-miffy-and-friends,Slab Waterproof met Mouw - Miffy and Friends,"Deze waterproof slab met mouwen uit de Miffy and Friends collectie is ideaal voor je kleintje tijdens het eten. Het waterdichte materiaal zorgt ervoor dat je kleintje droog blijft, terwijl de mouwen extra bescherming bieden tegen knoeien. De schattige Miffy en haar vriendjes print maakt deze slab niet alleen praktisch, maar ook superleuk. Handig, comfortabel en vrolijk voor elke maaltijd!",Jollein,bibs_sleeves_waterproof_miffy_friends,"Bibs, Miffy, Season 2025/2026, Slab met mouw, type-GDP-bibs_sleeves_waterproof_miffy_friends",TRUE,Color,Multicolor,Size,One Size,,,029-869-68047,0,,0,deny,manual,17.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/029-869-68047_1_20250611T.jpg?v=1752139647,1,FALSE,,,,,,,,,,,,,,,,,,,
hoeslaken-jersey-tiny-park,Hoeslaken - Jersey - Tiny Park,"Met het hoeslaken Jersey Tiny Park van Jollein slaapt je kleintje heerlijk zacht. Het hoeslaken is gemaakt van rekbaar en ademend jersey katoen, waardoor het perfect om het matras past en lekker comfortabel aanvoelt. De all-over Tiny Park print met schattige parkt avontuen en dieren brengt een speelse en gezellige sfeer in de babykamer.

Verkrijgbaar in de maten 40/50x80/90 cm, 60x120 cm en 70/75x140/150 cm, zodat je altijd de juiste maat hebt voor het matras van je kleintje. Dankzij de elastische hoeken blijft het hoeslaken goed zitten en creëer je in een handomdraai een knus bedje.",Jollein,fitted_sheets_jersey_tiny_park,"Fitted sheets, Hoeslakens, Season 2025/2026, Tiny Park, type-GDP-fitted_sheets_jersey_tiny_park",TRUE,Color,Multicolor,Size,40/50x80/90 cm,,,511-501-68102,0,,0,deny,manual,8.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0674/1013/3190/files/511-501-68102_1_20250611T.jpg?v=1752139632,1,FALSE,,,,,,,,,,,,,,,,,,,
